country,iso3,year,c_notified
Mozambique,MOZ,2015,58344.0
Mozambique,MOZ,2016,71842.0
Mozambique,MOZ,2017,85376.0
Mozambique,MOZ,2018,92381.0
Mozambique,MOZ,2019,96024.0
Mozambique,MOZ,2020,96203.0
Mozambique,MOZ,2021,97921.0
Mozambique,MOZ,2022,110084.0
