country,iso3,year,e_pop_num,e_inc_100k,e_inc_100k_lo,e_inc_100k_hi,e_inc_num,e_inc_num_lo,e_inc_num_hi,e_mort_exc_tbhiv_num,e_tbhiv_prct
Mozambique,MOZ,2015,26547571,361.0,223.0,532.0,96000.0,59000.0,141000.0,8900.0,51.0
Mozambique,MOZ,2016,27337101,361.0,223.0,532.0,99000.0,61000.0,145000.0,7900.0,44.0
Mozambique,MOZ,2017,28166390,361.0,223.0,532.0,102000.0,63000.0,150000.0,6100.0,40.0
Mozambique,MOZ,2018,29018644,361.0,223.0,532.0,105000.0,65000.0,154000.0,5600.0,36.0
Mozambique,MOZ,2019,29884382,361.0,223.0,532.0,108000.0,67000.0,159000.0,5700.0,34.0
Mozambique,MOZ,2020,30783693,361.0,220.0,537.0,111000.0,68000.0,165000.0,6800.0,27.0
Mozambique,MOZ,2021,31707807,361.0,220.0,537.0,114000.0,70000.0,170000.0,7600.0,25.0
Mozambique,MOZ,2022,32656245,361.0,220.0,537.0,118000.0,72000.0,175000.0,5000.0,25.0
